id,project_is_approved
p233245,0.967
p096795,0.9316
p236235,0.9443
p233680,0.9336
p171879,0.824
p016071,0.931
p099906,0.949
p200236,0.949
p129452,0.865
p186652,0.9736
p257992,0.9517
p055177,0.751
p069502,0.5303
p099455,0.853
p226195,0.9463
p048432,0.9556
p028074,0.9775
p188220,0.5903
p213507,0.8677
p006068,0.6875
p124112,0.946
p190450,0.9395
p180156,0.9604
p025868,0.774
p134875,0.9004
p169259,0.919
p124445,0.924
p090153,0.927
p086796,0.8613
p101412,0.952
p249795,0.95
p185278,0.9053
p052706,0.9116
p118380,0.957
p258109,0.9434
p033638,0.9033
p190269,0.9297
p166424,0.8896
p128851,0.9272
p059448,0.94
p020036,0.6724
p241422,0.923
p155492,0.9204
p062100,0.873
p159786,0.8955
p144841,0.862
p085470,0.8174
p130095,0.4756
p047018,0.949
p016587,0.7866
p087209,0.708
p188130,0.9077
p101731,0.5947
p232762,0.9854
p167483,0.8594
p076351,0.827
p185000,0.969
p101086,0.8345
p026220,0.9688
p028685,0.8647
p069530,0.878
p056829,0.7734
p047088,0.842
p134783,0.943
p033569,0.9487
p066632,0.9414
p249875,0.9717
p246378,0.8936
p088359,0.934
p068216,0.875
p132793,0.957
p012075,0.976
p034160,0.9585
p164095,0.714
p101374,0.8315
p179164,0.825
p144206,0.932
p117651,0.6685
p037059,0.9346
p156849,0.956
p096892,0.92
p161212,0.6396
p099186,0.921
p124024,0.8086
p200265,0.9106
p034357,0.946
p177052,0.4702
p127983,0.4658
p257497,0.965
p017783,0.962
p036670,0.973
p187035,0.9673
p251797,0.897
p081183,0.9546
p211028,0.96
p197996,0.964
p175648,0.95
p069955,0.9565
p126285,0.931
p073482,0.5923
p021363,0.892
p018483,0.9463
p120512,0.9253
p224623,0.973
p046024,0.962
p128133,0.8916
p111612,0.963
p216008,0.9624
p250197,0.5596
p038264,0.913
p037304,0.948
p233182,0.868
p187950,0.9595
p194163,0.8975
p123572,0.8984
p213676,0.3594
p242177,0.9634
p228376,0.8926
p098358,0.8755
p208182,0.928
p192069,0.945
p125208,0.9624
p068618,0.7114
p250399,0.9478
p096146,0.9736
p014072,0.846
p170811,0.6753
p016865,0.4753
p000502,0.9697
p243659,0.9634
p123641,0.926
p179222,0.953
p119669,0.946
p224232,0.9727
p113196,0.858
p197404,0.9565
p040348,0.923
p220547,0.84
p152772,0.729
p227843,0.973
p243822,0.941
p042663,0.87
p103616,0.9385
p119315,0.848
p112683,0.8726
p134225,0.5493
p178686,0.6733
p104414,0.827
p196430,0.9336
p121265,0.9717
p002111,0.958
p048656,0.8984
p100742,0.9233
p240945,0.871
p196948,0.805
p161397,0.9604
p085333,0.6753
p051174,0.8965
p226030,0.9336
p200031,0.9463
p099283,0.5874
p012888,0.9653
p213138,0.7715
p259594,0.968
p169939,0.767
p189829,0.904
p180698,0.963
p041111,0.936
p108577,0.9043
p024499,0.7886
p009156,0.9272
p154797,0.815
p019957,0.913
p137043,0.982
p183936,0.97
p143641,0.6997
p201920,0.5527
p169193,0.868
p215466,0.9185
p124527,0.7676
p241030,0.887
p252968,0.8804
p090991,0.7637
p138331,0.933
p199355,0.9336
p084300,0.957
p096238,0.8774
p081530,0.9214
p178898,0.916
p177763,0.951
p175360,0.9434
p218759,0.929
p225010,0.955
p015130,0.847
p161752,0.6987
p152538,0.9497
p237080,0.9614
p199291,0.9634
p136751,0.975
p108958,0.9756
p110542,0.855
p043509,0.932
p251751,0.832
p241189,0.977
p194788,0.941
p175510,0.9023
p113659,0.925
p038018,0.7764
p109620,0.949
p198992,0.8203
p001237,0.843
p156569,0.638
p183302,0.6924
p068100,0.775
p013384,0.8965
p189300,0.517
p185448,0.937
p140668,0.8896
p070387,0.8804
p033345,0.941
p049875,0.9204
p112795,0.932
p042765,0.9424
p183727,0.937
p258333,0.9795
p164654,0.956
p111121,0.9595
p007364,0.9526
p235281,0.4543
p184766,0.9243
p118290,0.918
p134315,0.7573
p008931,0.903
p193216,0.9414
p099504,0.852
p185939,0.8564
p212541,0.946
p057050,0.7227
p235964,0.7793
p019799,0.966
p226343,0.934
p247942,0.9736
p034876,0.981
p127034,0.8667
p122910,0.9536
p112781,0.71
p167054,0.9717
p091175,0.94
p192661,0.9795
p254171,0.9033
p056473,0.964
p186773,0.9487
p005448,0.758
p127039,0.858
p019902,0.9766
p109258,0.9004
p256814,0.376
p086119,0.9717
p085718,0.901
p000341,0.735
p153871,0.6743
p015527,0.965
p180082,0.8945
p114608,0.9644
p255258,0.831
p074885,0.6025
p158107,0.9404
p194785,0.7324
p053919,0.913
p118270,0.807
p173735,0.952
p166438,0.938
p229032,0.915
p126693,0.9165
p093408,0.897
p078376,0.8555
p256718,0.9106
p257276,0.9126
p139883,0.958
p112417,0.685
p006285,0.989
p158702,0.94
p180517,0.9385
p103302,0.955
p085035,0.7603
p052579,0.873
p034767,0.904
p164787,0.291
p068805,0.9565
p099314,0.813
p247448,0.691
p010132,0.971
p149889,0.957
p244732,0.971
p132573,0.9443
p022004,0.9487
p232062,0.811
p227193,0.9717
p001484,0.9326
p212354,0.3145
p218435,0.907
p070650,0.962
p088920,0.6562
p121609,0.9634
p050858,0.9795
p132912,0.8853
p150879,0.5254
p243365,0.9497
p114677,0.8447
p228243,0.94
p042290,0.9673
p104397,0.9272
p042280,0.898
p137702,0.811
p084377,0.955
p041654,0.9043
p119772,0.698
p098282,0.7725
p087508,0.926
p107066,0.6855
p241315,0.561
p034181,0.7505
p079792,0.928
p206611,0.952
p233647,0.96
p072113,0.945
p085444,0.937
p028452,0.9497
p104178,0.899
p097168,0.621
p211339,0.971
p109077,0.957
p074743,0.854
p207729,0.9375
p204533,0.914
p207665,0.8467
p217044,0.9297
p185822,0.9033
p223903,0.95
p253408,0.9375
p021838,0.848
p073176,0.7856
p097703,0.9478
p177982,0.9688
p209800,0.951
p197472,0.7344
p176198,0.952
p010602,0.982
p045059,0.9194
p004465,0.9297
p201661,0.8228
p247377,0.894
p011839,0.94
p181589,0.928
p222352,0.911
p033095,0.9614
p152161,0.9717
p146348,0.507
p081351,0.8555
p104086,0.9756
p129944,0.983
p139971,0.826
p019840,0.7314
p078847,0.946
p187359,0.955
p014981,0.9746
p078888,0.7915
p197493,0.925
p223807,0.957
p175173,0.802
p184290,0.981
p240381,0.955
p192045,0.9707
p067483,0.969
p065985,0.9316
p097988,0.935
p014378,0.8955
p207504,0.93
p124497,0.665
p041514,0.929
p053087,0.949
p019766,0.8345
p042248,0.906
p162955,0.861
p051634,0.9155
p042928,0.7236
p218938,0.9463
p096669,0.8027
p227913,0.945
p128332,0.9116
p156792,0.907
p072391,0.886
p185449,0.9004
p166909,0.8667
p044691,0.965
p101409,0.8843
p041121,0.9746
p238590,0.9717
p222387,0.883
p234051,0.9453
p144094,0.8623
p091725,0.7227
p146744,0.948
p217132,0.937
p038548,0.974
p163490,0.978
p064027,0.9116
p252418,0.8213
p097793,0.845
p127908,0.9316
p033793,0.409
p041765,0.9277
p087059,0.9414
p139864,0.6035
p236252,0.98
p100085,0.67
p099517,0.8706
p105054,0.9194
p129742,0.9185
p208479,0.748
p216392,0.934
p142815,0.9395
p241790,0.9604
p056395,0.858
p121254,0.9565
p083120,0.9272
p136618,0.7803
p060713,0.962
p178996,0.9443
p005636,0.956
p093473,0.97
p189408,0.864
p037253,0.851
p077833,0.97
p217127,0.9556
p035918,0.9297
p195304,0.886
p184006,0.976
p053912,0.9746
p249361,0.8486
p228033,0.879
p120177,0.924
p205087,0.947
p065516,0.9614
p251979,0.9585
p116508,0.8364
p219918,0.6875
p147330,0.9287
p248641,0.904
p188743,0.858
p232753,0.7925
p155252,0.9155
p034381,0.931
p000855,0.8867
p122818,0.9365
p143606,0.953
p219622,0.9375
p226159,0.491
p220735,0.9424
p224764,0.908
p210363,0.7417
p148574,0.904
p212574,0.703
p219336,0.9385
p236757,0.9517
p113674,0.964
p208748,0.965
p036325,0.961
p001219,0.9517
p019963,0.983
p012286,0.945
p128031,0.904
p181273,0.882
p228160,0.9316
p198162,0.964
p010888,0.9395
p143333,0.9214
p241664,0.9307
p105195,0.8574
p023056,0.511
p177916,0.8447
p009005,0.864
p196258,0.9146
p214997,0.739
p137578,0.9224
p067204,0.979
p148065,0.851
p146297,0.884
p184635,0.868
p218157,0.8555
p226936,0.961
p026264,0.9297
p230219,0.9185
p042040,0.928
p031495,0.773
p241951,0.8633
p213119,0.8325
p058032,0.872
p006519,0.909
p164910,0.951
p174119,0.806
p032059,0.912
p163776,0.8735
p096322,0.95
p065487,0.6157
p097627,0.9653
p055152,0.8164
p249493,0.867
p208294,0.8955
p015148,0.365
p123415,0.933
p152876,0.943
p116942,0.91
p068889,0.58
p085299,0.732
p079235,0.9043
p103973,0.9526
p148248,0.985
p211888,0.8657
p009471,0.9243
p092215,0.9473
p147914,0.8657
p223502,0.959
p102524,0.8813
p237245,0.971
p048211,0.953
p192594,0.837
p045414,0.872
p046340,0.974
p191783,0.9443
p094757,0.9775
p038959,0.857
p058620,0.8545
p192466,0.8867
p197025,0.9727
p159919,0.9575
p018322,0.977
p108689,0.968
p210835,0.867
p106448,0.943
p249270,0.897
p016889,0.879
p040535,0.6313
p221436,0.8247
p252788,0.8545
p178590,0.905
p002105,0.857
p111215,0.925
p153809,0.9746
p136364,0.951
p064316,0.919
p045197,0.9136
p124829,0.9644
p209156,0.988
p065013,0.7437
p045231,0.7456
p100288,0.778
p031464,0.785
p113289,0.9575
p117143,0.6484
p229301,0.3315
p078655,0.897
p224758,0.7324
p039688,0.8257
p001540,0.971
p143087,0.9233
p020642,0.6646
p124035,0.938
p203040,0.906
p061998,0.525
p235499,0.9126
p046971,0.756
p206955,0.9316
p178452,0.9277
p142364,0.698
p053540,0.9624
p124937,0.6865
p119018,0.9194
p000157,0.9346
p220155,0.9536
p137944,0.979
p141499,0.889
p048850,0.919
p200050,0.9443
p099920,0.9673
p223762,0.759
p021241,0.8237
p153453,0.9404
p204229,0.9355
p002626,0.943
p020711,0.956
p071519,0.8193
p204935,0.9404
p023511,0.9336
p071406,0.887
p030547,0.963
p236657,0.3545
p184656,0.4648
p067503,0.958
p076599,0.9644
p089074,0.979
p055453,0.907
p139328,0.7285
p208968,0.85
p002749,0.816
p174178,0.908
p105305,0.9478
p245431,0.9595
p128746,0.8926
p051923,0.9175
p175721,0.92
p141223,0.9585
p209236,0.9473
p167949,0.9575
p144580,0.749
p148508,0.8145
p040285,0.9497
p255901,0.946
p076050,0.961
p203493,0.921
p177206,0.761
p246769,0.968
p089435,0.965
p224769,0.8525
p020437,0.4219
p197991,0.8926
p094460,0.727
p249184,0.9404
p113797,0.987
p089926,0.878
p043569,0.9214
p106653,0.9023
p122795,0.917
p168410,0.952
p094641,0.9614
p131396,0.864
p145834,0.774
p163359,0.9634
p248284,0.5845
p198336,0.965
p039392,0.958
p116103,0.9146
p007013,0.8237
p246365,0.75
p031862,0.6587
p057169,0.5786
p113992,0.97
p177589,0.92
p053595,0.921
p195970,0.953
p162775,0.9727
p020715,0.91
p055399,0.891
p170111,0.9565
p057193,0.8276
p012815,0.827
p060915,0.946
p074675,0.9697
p230410,0.8687
p196664,0.7188
p026826,0.9546
p106945,0.9526
p056997,0.8467
p048707,0.879
p049393,0.929
p029744,0.911
p254903,0.971
p137968,0.9473
p167990,0.98
p024721,0.876
p117630,0.5317
p051830,0.905
p136585,0.834
p089751,0.9507
p131552,0.9326
p072309,0.4854
p087218,0.817
p115313,0.3079
p104224,0.963
p061626,0.961
p012000,0.909
p091153,0.9663
p247255,0.9375
p241234,0.5386
p216123,0.9077
p206047,0.95
p042087,0.9653
p020207,0.978
p254036,0.9404
p004083,0.893
p127557,0.911
p097962,0.9746
p189947,0.823
p186106,0.794
p253210,0.9614
p248708,0.9653
p178246,0.92
p228978,0.8096
p035568,0.9297
p097664,0.8315
p158443,0.97
p067169,0.893
p043477,0.9253
p013552,0.9214
p004535,0.8887
p200154,0.922
p195162,0.8794
p197342,0.96
p181588,0.8345
p236836,0.939
p157230,0.9653
p180852,0.8745
p148868,0.935
p145811,0.82
p094617,0.9424
p099327,0.9077
p201292,0.97
p238540,0.907
p077949,0.765
p247510,0.9717
p033076,0.8926
p256480,0.9014
p076769,0.605
p062521,0.8086
p076054,0.797
p124278,0.9385
p206560,0.9683
p086388,0.9097
p135523,0.9424
p056186,0.492
p135913,0.97
p255466,0.728
p011944,0.1722
p169028,0.859
p007872,0.8755
p250842,0.8896
p135510,0.9263
p108985,0.844
p245638,0.9004
p034008,0.9487
p156741,0.9443
p230621,0.909
p086259,0.97
p121630,0.6714
p090584,0.9497
p146782,0.9233
p078643,0.919
p050414,0.872
p219184,0.6675
p229229,0.6304
p193613,0.4429
p117414,0.954
p112114,0.926
p209691,0.967
p009360,0.924
p254068,0.9146
p177866,0.899
p173135,0.948
p257491,0.9556
p064520,0.7637
p064901,0.638
p163146,0.899
p150965,0.9634
p175930,0.908
p135491,0.893
p111598,0.946
p063022,0.8228
p225619,0.935
p214363,0.2607
p259744,0.8555
p258350,0.866
p022962,0.642
p013411,0.937
p009502,0.96
p073028,0.9624
p047973,0.9434
p104551,0.8345
p217620,0.9243
p199884,0.7603
p124793,0.646
p156660,0.929
p098242,0.961
p259010,0.513
p086558,0.5146
p158022,0.917
p202231,0.9736
p149156,0.935
p029467,0.8525
p152032,0.739
p122840,0.968
p024645,0.6377
p124167,0.9277
p241316,0.912
p046379,0.828
p113280,0.8945
p183113,0.7563
p038727,0.656
p100041,0.795
p030392,0.9443
p088141,0.9507
p212210,0.925
p112526,0.903
p014522,0.972
p028621,0.872
p108505,0.965
p061556,0.9272
p218884,0.764
p058425,0.9414
p192422,0.845
p032720,0.9424
p068000,0.94
p087904,0.9546
p199278,0.9565
p205243,0.9683
p140121,0.7515
p250008,0.8984
p224866,0.815
p247101,0.963
p258581,0.936
p009757,0.8413
p064907,0.9756
p245071,0.3792
p000726,0.914
p215139,0.9604
p112968,0.9644
p175695,0.7295
p148311,0.875
p156499,0.9844
p099284,0.9033
p132455,0.976
p253487,0.8047
p120462,0.9673
p102609,0.6685
p160645,0.9546
p104179,0.9233
p000666,0.971
p036209,0.8
p135102,0.977
p134193,0.928
p175806,0.824
p076194,0.8613
p254862,0.7144
p192299,0.943
p058811,0.782
p140571,0.8667
p053238,0.912
p206579,0.724
p160818,0.9253
p027854,0.9775
p116776,0.9116
p186365,0.941
p165331,0.912
p246564,0.858
p138124,0.947
p110953,0.943
p186214,0.9697
p044778,0.915
p257962,0.9346
p084487,0.9565
p221290,0.9287
p181360,0.923
p114370,0.859
p169726,0.71
p088261,0.8994
p089733,0.899
p143200,0.9736
p089333,0.6816
p067206,0.7964
p136629,0.8965
p123285,0.97
p045613,0.924
p091258,0.8267
p109990,0.938
p034945,0.959
p209215,0.864
p180896,0.919
p020986,0.8154
p029081,0.965
p149371,0.9727
p092316,0.873
p248888,0.962
p091658,0.6367
p032913,0.927
p054741,0.9478
p088809,0.89
p000884,0.958
p250108,0.8267
p141013,0.9683
p223746,0.926
p198971,0.89
p210354,0.8926
p185480,0.802
p020002,0.979
p004176,0.952
p139424,0.696
p133590,0.782
p028969,0.3489
p056535,0.9307
p160239,0.8164
p107783,0.891
p041410,0.96
p012368,0.933
p244769,0.927
p212460,0.9595
p219249,0.8745
p148412,0.692
p164417,0.8857
p142374,0.9585
p046842,0.9478
p076648,0.9067
p161830,0.667
p014015,0.98
p165474,0.5347
p056483,0.966
p000532,0.831
p194930,0.9395
p096974,0.721
p017548,0.8667
p221036,0.91
p243890,0.968
p203836,0.9126
p179365,0.951
p130248,0.8457
p256311,0.972
p239758,0.944
p051974,0.7617
p110368,0.9614
p194208,0.968
p145258,0.949
p199434,0.937
p002850,0.914
p222550,0.85
p053816,0.869
p125835,0.891
p164096,0.9595
p075105,0.968
p124229,0.9355
p093763,0.9683
p094690,0.846
p258365,0.8013
p022588,0.9575
p242099,0.977
p218124,0.5293
p213245,0.9727
p099429,0.7256
p159954,0.9053
p155453,0.968
p198478,0.8896
p059565,0.9727
p220176,0.901
p175848,0.827
p041405,0.945
p197041,0.659
p253509,0.873
p124739,0.9536
p118282,0.905
p005286,0.7295
p246944,0.5366
p078030,0.8745
p013257,0.883
p197157,0.913
p257172,0.9697
p083458,0.873
p092170,0.936
p195815,0.9824
p036972,0.955
p001080,0.898
p144625,0.8584
p010260,0.9614
p007734,0.8994
p227563,0.8755
p225936,0.723
p119988,0.7188
p196189,0.691
p180227,0.5728
p176336,0.9785
p163516,0.9556
p157886,0.9614
p144904,0.9453
p129205,0.867
p043372,0.94
p110068,0.7866
p007341,0.911
p228272,0.8667
p050657,0.846
p018289,0.973
p253075,0.97
p035816,0.9585
p116074,0.9854
p245626,0.8896
p226048,0.667
p245435,0.9487
p134914,0.8403
p061557,0.873
p037533,0.896
p090538,0.846
p007729,0.8247
p169881,0.9707
p012192,0.64
p239204,0.978
p245090,0.9775
p007251,0.8315
p230912,0.9707
p007283,0.7993
p238895,0.922
p011941,0.8335
p214398,0.9336
p214516,0.6025
p125508,0.919
p153948,0.9473
p006182,0.6562
p187280,0.7773
p048932,0.684
p066118,0.955
p096752,0.9155
p085233,0.7676
p205770,0.9272
p159463,0.909
p074489,0.9805
p046662,0.9155
p157897,0.8457
p025188,0.9614
p023274,0.931
p164405,0.9263
p142465,0.926
p111439,0.779
p064680,0.974
p142809,0.9517
p006247,0.97
p096942,0.856
p006643,0.9526
p011099,0.9062
p053046,0.958
p092138,0.8867
p249750,0.624
p109566,0.952
p195570,0.8975
p152325,0.4873
p184563,0.9614
p257519,0.8677
p239603,0.974
p100017,0.62
p032737,0.913
p251043,0.7505
p041341,0.5557
p153867,0.9766
p163754,0.8975
p114663,0.929
p119245,0.885
p026989,0.918
p234149,0.872
p086050,0.9233
p015894,0.8823
p149358,0.468
p215530,0.948
p019705,0.949
p164001,0.938
p149741,0.972
p241012,0.9565
p236428,0.939
p254247,0.765
p088054,0.8916
p165236,0.9194
p075408,0.7534
p245303,0.8086
p218679,0.887
p186795,0.8613
p047683,0.9307
p090548,0.912
p210440,0.975
p065716,0.3281
p055864,0.8945
p189758,0.3513
p125661,0.725
p098104,0.9165
p195543,0.9116
p192258,0.872
p220168,0.973
p085191,0.3066
p086029,0.885
p022535,0.777
p007921,0.926
p074011,0.8613
p013199,0.9443
p073895,0.969
p142700,0.761
p140592,0.388
p226024,0.899
p236281,0.892
p005221,0.8525
p056472,0.9795
p183663,0.837
p143574,0.974
p184253,0.8667
p241669,0.898
p197335,0.6978
p006030,0.97
p191788,0.9683
p259028,0.691
p001094,0.506
p028645,0.975
p020094,0.893
p060838,0.922
